City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Mandalgovi,MN,45.7625,106.2708,78.57,25,20,10.89,few clouds
80,Georgetown,MY,5.4112,100.3354,87.73,73,40,8.05,scattered clouds
81,Vila Velha,BR,-20.3297,-40.2925,71.55,82,20,11.01,few clouds
82,Vardo,NO,70.3705,31.1107,51.78,71,75,8.05,broken clouds
83,Sinnamary,GF,5.3833,-52.95,76.51,89,86,6.51,overcast clouds
84,Berbera,SO,10.4396,45.0143,92.1,36,3,23.11,clear sky
85,Wanxian,CN,30.8039,108.3897,93.97,55,0,4.63,clear sky
86,Batagay-Alyta,RU,67.8006,130.4114,84.61,35,12,5.1,few clouds
87,Khatanga,RU,71.9667,102.5,73.65,45,49,6.93,scattered clouds
88,Bousso,TD,10.4795,16.7117,72.12,94,91,5.19,overcast clouds
89,Gorom-Gorom,BF,14.4439,-0.2361,73.98,83,100,13.18,moderate rain
90,Portland,US,45.5234,-122.6762,85.66,65,0,5.75,clear sky
91,Turan,VN,16.0678,108.2208,93.18,59,20,6.91,few clouds
92,Nemuro,JP,43.3236,145.575,62.94,87,98,6.2,moderate rain
93,Iralaya,HN,15.0,-83.2333,79.03,83,19,8.63,few clouds
94,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,2.57,overcast clouds
95,Kushima,JP,31.4583,131.2333,82.58,87,76,14.34,light rain
96,Taoudenni,ML,22.6783,-3.9836,99.9,15,92,6.22,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,74.21,60,20,10.36,few clouds
98,Port Lincoln,AU,-34.7333,135.8667,58.08,61,60,13.71,broken clouds
99,Pucallpa,PE,-8.3791,-74.5539,74.88,73,50,2.3,scattered clouds
100,Mahebourg,MU,-20.4081,57.7,74.25,60,20,10.36,few clouds
101,Pacific Grove,US,36.6177,-121.9166,60.82,92,100,6.91,overcast clouds
102,Chokurdakh,RU,70.6333,147.9167,64.78,27,85,15.3,overcast clouds
103,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,0,18.41,clear sky
104,Deputatskiy,RU,69.3,139.9,48.87,75,100,3.71,light rain
105,Sabang,ID,5.8933,95.3214,80.2,81,96,23.04,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,53.74,80,90,21.79,overcast clouds
107,Suntar,RU,62.1444,117.6319,88.77,36,81,10.85,broken clouds
108,Pasighat,IN,28.0667,95.3333,87.84,72,53,3.8,broken clouds
109,Shetpe,KZ,44.1667,52.1167,76.39,57,0,9.69,clear sky
110,Chuy,UY,-33.6971,-53.4616,49.32,87,100,17.58,overcast clouds
111,Maniitsoq,GL,65.4167,-52.9,40.93,96,100,9.08,light rain
112,Geraldton,AU,-28.7667,114.6,64.81,88,100,10.36,light intensity shower rain
113,Kodiak,US,57.79,-152.4072,58.51,67,0,8.05,clear sky
114,Prieska,ZA,-29.6641,22.7474,49.37,35,46,6.29,scattered clouds
115,Khasan,RU,42.4308,130.6434,74.95,87,100,10.69,overcast clouds
116,Hobyo,SO,5.3505,48.5268,78.24,76,83,21.05,broken clouds
117,Teguldet,RU,57.3064,88.1667,77.02,48,82,5.3,broken clouds
118,Diplo,PK,24.4667,69.584,87.39,61,95,18.52,overcast clouds
119,Itoman,JP,26.1247,127.6694,91.42,66,40,11.5,scattered clouds
120,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,87,25,20.13,scattered clouds
121,Upernavik,GL,72.7868,-56.1549,42.4,71,96,5.19,overcast clouds
122,Cabo San Lucas,MX,22.8909,-109.9124,85.6,64,12,4.0,few clouds
123,Kawalu,ID,-7.3817,108.2082,85.37,59,79,4.29,broken clouds
124,Bethel,US,41.3712,-73.414,77.65,93,75,3.44,broken clouds
125,Thanh Hoa,VN,19.8,105.7667,90.21,64,100,3.89,overcast clouds
126,Yima,CN,34.7381,111.8839,86.59,54,25,7.81,scattered clouds
127,Bari,IT,41.1177,16.8512,79.86,71,0,4.61,clear sky
128,Saint-Philippe,RE,-21.3585,55.7679,73.22,80,38,8.95,light rain
129,Pisco,PE,-13.7,-76.2167,60.85,82,100,1.14,mist
130,Shizuishan,CN,39.2333,106.7694,94.48,16,11,12.06,few clouds
131,Samana,DO,19.2056,-69.3369,76.24,88,10,7.87,clear sky
132,Kununurra,AU,-15.7667,128.7333,85.98,17,3,8.05,clear sky
